Sem. Cat.,EN,NT,Audio,Speaker,Source,Ques. / Notes,Sub Sem. Cat.,original spelling,Entry #,Page #,CR,see,Literal Meaning,Speaker 1,Speaker 2
body parts,personʼs body ,dän nehtínʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,dzak damba,84,40,CR12,,,Tommy McGinty,Johnson Edwards
body parts,left side (of someoneʼs body),tlʼo tsʼan,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),clarify with speaker if it just relates to the body?,,dan nezhan,85,40,,,,Tommy McGinty,Johnson Edwards
body parts,right side (of someoneʼs body),sók tsʼan,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,dan nehtínʼ,86,40,,,,Tommy McGinty,Johnson Edwards
body parts,anus,-ttháwʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,torso,tlʼo tsʼan,87,40,,,,Tommy McGinty,Johnson Edwards
body parts,arm ,-gą́ą́ʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,arm,sók tsʼan,88,40,,,,Tommy McGinty,Johnson Edwards
body parts,armpit,-gą́ą́ʼ tlʼyáák,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,arm,uttháwʼ,89,40,,,,Tommy McGinty,Johnson Edwards
body parts,back ,-tʼa,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,torso,ugáánʼ,90,40,CR13,,,Tommy McGinty,Johnson Edwards
body parts,back ,-natʼaak,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,torso,ugáán tlʼyáák,91,40,CR13,,,Tommy McGinty,Johnson Edwards
body parts,back,-chä́nʼ,,,,,,utʼa,new ,,,,,,
body parts,backbone / spine,-chä́nʼ tthánʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,torso,unatʼaak,92,40,,,,Tommy McGinty,Johnson Edwards
body parts,belly,-mbä́t,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,torso,uchánʼ,94,40,,,,Tommy McGinty,Johnson Edwards
body parts,biceps,-dezrun,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),"-in original dictionary same word as ""person's breath""",arm,umbát,95,40,CR14,,,Tommy McGinty,Johnson Edwards
